street_num,street_name,zip,emissions,property_type,system_size,cost,cost_reduced,break_even,energy_production,savings,emissions_reduction,trees
85,ADAMS STREET,11201,947326.34,Multifamily Housing,9,67500,15410,8,10241,2151,7051,19
107,ADAMS STREET,11201,2506898.43,Other,52.1,312600,64553,6,59924,12584,41258,110
175,ADAMS STREET,11201,12052495.49,Multifamily Housing,300.87,1654785,517540,8,357095,74990,245862,656
122,ASHLAND PLACE,11201,2003825.59,Multifamily Housing,53.39,320340,67165,6,61407,12896,42279,113
161,ASHLAND PLACE,11201,2417677.35,Other,140.1,805575,230932,8,159424,33479,109764,293
124,ATLANTIC AVENUE,11201,293633.69,Multifamily Housing,52.57,315420,65504,6,62394,13103,42959,115
378,BALTIC STREET,11201,296587.88,Other,6.8,51000,11643,8,7488,1573,5156,14
53,BOERUM PLACE,11201,794016.88,Multifamily Housing,25.66,166790,35276,7,27629,5802,19023,51
49,BOND STREET,11201,127118.54,Other,276.16,1518880,471672,8,324389,60000,223343,596
110,BRIDGE STREET,11201,222821.21,Warehouse (Unrefrigerated),76.84,461040,114651,7,85558,17967,58907,157
197,BRIDGE STREET,11201,442467.76,Multifamily Housing,3.91,31280,7355,9,4354,914,2997,8
140,CADMAN PLAZA WEST,11201,3943981.68,Multifamily Housing,55.8,334800,72045,6,65545,13764,45128,120
51,CLARK STREET,11201,4650629.37,Residence Hall/Dormitory,61.66,369960,83912,7,67902,14259,46751,125
52,CLARK STREET,11201,1443630.98,Multifamily Housing,21.96,142740,30190,7,24989,5248,17205,46
79,CLARK STREET,11201,4077438.52,Multifamily Housing,105.23,605073,163262,7,118457,24876,81558,218
10,CLINTON STREET,11201,4077438.52,Multifamily Housing,78.71,472260,118438,7,89567,18809,61667,165
40,CLINTON STREET,11201,1431858.3,Multifamily Housing,1.72,14620,3526,13,1810,380,1246,3
75,CLINTON STREET,11201,714055.22,Multifamily Housing,11.11,77770,17148,8,12235,2569,8424,22
9,COLLEGE PLACE,11201,1117787.76,Multifamily Housing,38.75,251875,53272,7,41724,8762,28727,77
29,COLUMBIA HEIGHTS,11201,3008428.03,Office,69.49,416940,99767,7,80775,16963,55614,148
97,COLUMBIA HEIGHTS,11201,703649.4,Residence Hall/Dormitory,19.18,134260,29604,7,22060,4633,15189,41
107,COLUMBIA HEIGHTS,11201,1216422.58,Residence Hall/Dormitory,44.52,267120,53691,6,51750,10868,35630,95
128,COLUMBIA HEIGHTS,11201,982953.04,Residence Hall/Dormitory,18,126000,27783,7,20483,4301,14103,38
160,COLUMBIA HEIGHTS,11201,716436.21,Multifamily Housing,17.74,124180,27382,7,20621,4330,14198,38
10,COLUMBIA PLACE,11201,1294973.28,Multifamily Housing,47.36,284160,57116,6,53892,11317,37105,99
110,COLUMBIA STREET,11201,7363836.39,Multifamily Housing,901.5,4958250,1787696,9,1047908,220061,721490,1925
200,CONGRESS STREET,11201,995828.04,Multifamily Housing,70.61,423660,102035,7,82941,17418,57106,152
26,COURT STREET,11201,3763290.81,Office,20.06,130390,27577,6,23318,4897,16054,43
32,COURT STREET,11201,1422290.24,Office,14.33,100310,22118,7,17534,3682,12072,32
44,COURT STREET,11201,3069694.49,Office,19.89,139230,30700,8,21660,4549,14913,40
50,COURT STREET,11201,979866.57,Office,38.32,249080,52680,7,41261,8665,28409,76
110,COURT STREET,11201,2192078.32,Entertainment/Culture,6.03,45225,10325,8,6936,1456,4775,13
125,COURT STREET,11201,4141339.5,Multifamily Housing,74,444000,108900,7,82396,17303,56730,151
80,CRANBERRY STREET,11201,1566450.51,Multifamily Housing,16.28,113960,25128,8,17729,3723,12206,33
74,DE KALB AVENUE,11201,4883966.63,Multifamily Housing,195.64,1124930,338714,8,220231,46249,151630,405
85,DE KALB AVENUE,11201,174672.25,Other,28.07,182455,38589,7,28851,6059,19864,53
248,DUFFIELD STREET,11201,566962.8,Office,172.87,994003,294526,8,203060,42643,139808,373
340,FLATBUSH AVENUE EXT,11201,1135314.51,Office,745.64,4101020,1442661,25+,839365,60000,577907,1542
395,FLATBUSH AVENUE EXT,11201,8875744.53,Office,192.29,1105668,332213,8,214107,44963,147414,393
57,FRONT STREET,11201,694852.96,Multifamily Housing,2.96,25160,6067,12,3441,723,2369,6
75,FRONT STREET,11201,4466587.47,Office,221.65,1219075,370488,8,257647,54106,177391,473
84,FRONT STREET,11201,912361.03,Multifamily Housing,6.29,47175,10770,8,7004,1471,4822,13
380,FULTON STREET,11201,718398.33,Retail,8.18,61350,14006,8,9208,1934,6340,17
422,FULTON STREET,11201,16279925.51,Retail,156.81,901658,263360,8,174602,36666,120214,321
51,FURMAN STREET,11201,3184819.88,Office,118.58,681835,189169,8,132034,27727,90906,243
360,FURMAN STREET,11201,8120903.79,Multifamily Housing,263.16,1447380,447541,8,305898,60000,210613,562
265,GOLD STREET,11201,322426.06,Warehouse (Unrefrigerated),32.55,211575,44748,7,36641,7695,25228,67
277,GOLD STREET,11201,1365940.08,Multifamily Housing,13.86,97020,21393,7,15941,3348,10976,29
2,GRACE COURT,11201,1354586.28,Multifamily Housing,91.62,526815,136850,7,108742,22836,74869,200
75,HENRY STREET,11201,5368652.91,Multifamily Housing,74.31,445860,109528,7,82741,17376,56968,152
160,HENRY STREET,11201,563722,Multifamily Housing,16.19,113330,24989,7,18621,3910,12821,34
245,HENRY STREET,11201,534158.01,Multifamily Housing,47.45,284700,57225,6,55737,11705,38375,102
380,HENRY STREET,11201,4507439.13,Senior Care Facility,151.79,872793,253618,8,178299,37443,122759,328
145,HICKS STREET,11201,998826.32,Multifamily Housing,87.75,504563,129340,7,102001,21420,70228,187
401,HICKS STREET,11201,942387.99,Multifamily Housing,112.6,647450,177564,7,136398,28644,93911,251
414,HICKS STREET,11201,877726.4,Multifamily Housing,39.67,257855,54536,7,44656,9378,30746,82
417,HICKS STREET,11201,4215789.61,Multifamily Housing,60.62,363720,81806,6,71207,14953,49026,131
439,HICKS STREET,11201,3421375.89,Multifamily Housing,39.9,259350,54853,6,48333,10150,33277,89
1,HOYT STREET,11201,2092429.37,Residence Hall/Dormitory,22.73,147745,31248,7,24475,5140,16851,45
65,HOYT STREET,11201,2594399.9,Multifamily Housing,66.82,400920,94361,7,76037,15968,52352,140
20,JAY STREET,11201,2503393.08,Office,232.19,1277045,390053,8,267058,56082,183871,491
50,JAY STREET,11201,1244068.54,Residence Hall/Dormitory,29.88,194220,41078,7,33636,7064,23158,62
68,JAY STREET,11201,1913458.11,Other,132.09,759518,215387,8,143845,30207,99038,264
100,JAY STREET,11201,4381775.64,Multifamily Housing,38.23,248495,52557,7,42568,8939,29308,78
199,JAY STREET,11201,52602.3,,14.56,101920,22473,8,16034,3367,11039,29
327,JAY STREET,11201,5852721.9,College/University (Campus-Level),82.41,473858,118977,8,84702,17787,58318,156
160,JOHN STREET,11201,157608.47,Warehouse (Unrefrigerated),43.23,259380,52135,6,48135,10108,33141,88
142,JORALEMON STREET,11201,835155.14,Multifamily Housing,9.39,70425,16078,8,10455,2196,7199,19
165,JORALEMON STREET,11201,242310.07,Multifamily Housing,40.13,240780,48397,6,45665,9590,31441,84
186,JORALEMON STREET,11201,956034.6,Office,12.57,87990,19402,8,13535,2842,9319,25
191,JORALEMON STREET,11201,1144088.91,Office,11.11,77770,17148,8,12235,2569,8424,22
107,LAWRENCE STREET,11201,5446872.92,Multifamily Housing,8.96,67200,15342,8,9977,2095,6869,18
59,LIVINGSTON STREET,11201,523575.83,Other,6.89,51675,11797,9,7082,1487,4876,13
75,LIVINGSTON STREET,11201,1389705.91,Multifamily Housing,6.39,47925,10941,8,7115,1494,4899,13
77,LIVINGSTON STREET,11201,4059658.23,Multifamily Housing,22.65,147225,31138,7,24388,5122,16792,45
110,LIVINGSTON STREET,11201,4863684.1,Multifamily Housing,50.91,305460,62143,6,58555,12297,40315,108
180,LIVINGSTON STREET,11201,2636001.13,Office,80.08,460460,114455,7,87206,18313,60042,160
1,MAIN STREET,11201,3491835.63,Multifamily Housing,42.88,257280,51713,6,45647,9586,31428,84
30,MAIN STREET,11201,1749764.88,Multifamily Housing,52.69,316140,65747,6,59958,12591,41281,110
25,MONROE PLACE,11201,681581.13,Multifamily Housing,9.82,73650,16814,8,10934,2296,7528,20
57,MONTAGUE STREET,11201,1281370.76,Multifamily Housing,44.09,264540,53173,6,50171,10536,34543,92
74,MONTAGUE STREET,11201,783280.37,Multifamily Housing,19.98,139860,30839,8,22247,4672,15317,41
166,MONTAGUE STREET,11201,448772.98,Multifamily Housing,9.59,71925,16420,8,10678,2242,7352,20
177,MONTAGUE STREET,11201,650892.78,Office,13.26,92820,20467,8,13467,2828,9272,25
182,MONTAGUE STREET,11201,2967708.65,Multifamily Housing,11.8,82600,18213,7,13428,2820,9245,25
195,MONTAGUE STREET,11201,11100318.98,Office,52.44,314640,65241,6,57107,11992,39318,105
2,MONTAGUE TERRACE,11201,447869.09,Multifamily Housing,4.31,34480,8107,9,4852,1019,3340,9
100,MYRTLE AVENUE,11201,15257531.77,Office,39.35,255775,54096,7,39963,8392,27515,73
173,MYRTLE AVENUE,11201,6641326.44,Multifamily Housing,279.86,1539230,478540,8,308189,64720,212190,566
137,PEARL STREET,11201,965316.06,Other,58.81,352860,78140,7,65483,13751,45085,120
175,PEARL STREET,11201,1231281.73,Education,18.94,132580,29234,8,19930,4185,13722,37
375,PEARL STREET,11201,1252181.56,K-12 School,6.37,47775,10907,9,6547,1375,4508,12
55,PIERREPONT STREET,11201,1365080.28,Multifamily Housing,12.2,85400,18831,7,13883,2915,9558,26
66,PIERREPONT STREET,11201,451572.85,Multifamily Housing,12.83,89810,19803,8,14129,2967,9728,26
69,PIERREPONT STREET,11201,553029.58,Multifamily Housing,20.01,130065,27509,7,21791,4576,15003,40
44,PINEAPPLE STREET,11201,4646528.77,Multifamily Housing,29.11,189215,40019,7,32769,6881,22562,60
45,PINEAPPLE STREET,11201,593660.78,Multifamily Housing,6.46,48450,11061,8,7272,1527,5007,13
135,PLYMOUTH STREET,11201,658697.15,Office,67.25,403500,95231,7,71589,15034,49289,132
75,POPLAR STREET,11201,893401.27,Multifamily Housing,54.82,328920,70061,6,63052,13241,43412,116
14,PRINCE STREET,11201,2269835.36,Entertainment/Culture,29.36,190840,40363,7,31613,6639,21766,58
64,PROSPECT STREET,11201,574061.68,Warehouse (Unrefrigerated),62.43,374580,85471,7,70277,14758,48386,129
81,PROSPECT STREET,11201,348242.19,Warehouse (Unrefrigerated),40.99,245940,49434,6,46644,9795,32115,86
60,REMSEN STREET,11201,732706.33,Multifamily Housing,29.54,192010,40610,7,33615,7059,23144,62
68,REMSEN STREET,11201,978477.66,Multifamily Housing,18.71,130970,28879,7,21062,4423,14501,39
172,REMSEN STREET,11201,6089013.35,K-12 School,80.51,462933,115290,7,88660,18619,61043,163
90,SANDS STREET,11201,5485012.89,Residence Hall/Dormitory,28.65,186225,39387,7,32251,6773,22205,59
165,SANDS STREET,11201,1213380.2,Multifamily Housing,75.9,455400,112748,7,85440,17942,58826,157
96,SCHERMERHORN STREET,11201,1143780.26,Multifamily Housing,23.94,155610,32912,7,26656,5598,18353,49
17,SMITH STREET,11201,1798905.92,House of Worship,87.5,503125,128855,7,95287,20010,65605,175
32,SMITH STREET,11201,2601344.46,Office,25.22,163930,34671,7,27464,5768,18909,50
130,ST EDWARD'S STREET,11201,4430056.88,Multifamily Housing,64.24,385440,89136,7,72315,15186,49789,133
140,ST EDWARD'S STREET,11201,2758820.65,Senior Care Facility,36.51,237315,50192,7,41546,8725,28605,76
101,TECH PLACE,11201,1149137.49,Residence Hall/Dormitory,11.8,82600,18213,8,12850,2699,8847,24
194,TILLARY STREET,11201,1077068.38,Lodging,18.51,129570,28570,8,20610,4328,14190,38
318,WARREN STREET,11201,816834.73,Multifamily Housing,85.51,491683,124993,7,101490,21313,69876,186
25,WASHINGTON STREET,11201,1201144.54,Multifamily Housing,41.51,249060,50061,6,43172,9066,29724,79
26,WASHINGTON STREET,11201,240370,Office,8.53,63975,14605,9,8663,1819,5964,16
39,WASHINGTON STREET,11201,2635736.57,Office,147.94,850655,246146,8,166536,34972,114661,306
65,WASHINGTON STREET,11201,1825670.04,Multifamily Housing,5.8,43500,9931,9,6245,1311,4300,11
70,WASHINGTON STREET,11201,3945326.5,Multifamily Housing,96.53,555048,146379,7,109845,23067,75629,202
133,WATER STREET,11201,897237.31,Multifamily Housing,5.6,42000,9589,8,6509,1367,4482,12
220,WATER STREET,11201,1540171.41,Multifamily Housing,270.99,1490445,462075,8,315000,60000,216879,579
80,WILLOUGHBY STREET,11201,520401.17,K-12 School,14.47,101290,22334,8,15581,3272,10727,29
81,WILLOUGHBY STREET,11201,861059.46,Other,30.55,198575,41999,7,34016,7143,23420,62
101,WILLOUGHBY STREET,11201,5254100.72,Multifamily Housing,74.57,447420,110054,7,81206,17053,55911,149
190,WILLOUGHBY STREET,11201,15351536.87,College/University (Campus-Level),415.59,2285745,730489,8,462743,97176,318601,850
191,WILLOUGHBY STREET,11201,2122125.64,Multifamily Housing,53.99,323940,68380,6,62758,13179,43209,115
240,WILLOUGHBY STREET,11201,1328505.59,Medical Office,137.86,792695,226585,8,148441,31173,102203,273
79,WILLOW STREET,11201,4922106.6,Residence Hall/Dormitory,22.02,143130,30272,7,25327,5319,17438,47
135,WILLOW STREET,11201,874529.7,Multifamily Housing,27.99,181935,38479,7,31508,6617,21694,58
647,ALBANY AVENUE,11203,1056521.3,Multifamily Housing,59.68,358080,79902,6,70103,14722,48266,129
4710,AVENUE D,11203,739717.03,Multifamily Housing,31.52,204880,43332,7,36253,7613,24961,67
4411,CHURCH AVENUE,11203,1140539.47,Multifamily Housing,55.8,334800,72045,6,66228,13908,45598,122
209,EAST 34 STREET,11203,690950.78,Multifamily Housing,55.54,333240,71519,6,65240,13700,44918,120
450,EAST 34 STREET,11203,570203.59,Multifamily Housing,36.08,234520,49601,6,42381,8900,29180,78
282,EAST 35 STREET,11203,1286375.25,Multifamily Housing,107.64,618930,167939,7,127755,26829,87960,235
285,EAST 35 STREET,11203,717097.6,Multifamily Housing,41.76,250560,50363,6,48542,10194,33421,89
10,EAST 43 STREET,11203,1344202.5,Multifamily Housing,80.77,464428,115794,7,94876,19924,65322,174
428,EAST 46 STREET,11203,854269.22,Multifamily Housing,40.64,243840,49012,6,48235,10129,33210,89
86,EAST 49 STREET,11203,10504585.86,Senior Care Facility,371.31,2042205,648294,8,422526,88730,290911,776
254,EAST 56 STREET,11203,32430,Office,61.69,370140,83972,6,73218,15376,50411,135
743,FENIMORE STREET,11203,882841.13,Multifamily Housing,44.26,265560,53378,6,51448,10804,35422,95
3505,FOSTER AVENUE,11203,7104969.59,Multifamily Housing,218.38,1201090,364418,8,251174,52746,172934,461
5407,KINGS HIGHWAY,11203,2283151.28,Multifamily Housing,214.76,1181180,357698,8,241755,50768,166449,444
556,LEFFERTS AVENUE,11203,578030,Multifamily Housing,39.01,253565,53629,6,45823,9623,31549,84
570,LEFFERTS AVENUE,11203,627435.6,Multifamily Housing,31.26,203190,42975,6,36719,7711,25281,67
621,LEFFERTS AVENUE,11203,1870886.85,Multifamily Housing,71.47,428820,103777,7,84826,17813,58403,156
750,LEFFERTS AVENUE,11203,542403.3,Multifamily Housing,51.58,309480,63500,6,59957,12591,41281,110
785,LINDEN BOULEVARD,11203,6944649.44,Multifamily Housing,318.96,1754280,551120,8,374663,78679,257957,688
655,NEW YORK AVENUE,11203,1557499.74,Multifamily Housing,73.28,439680,107442,7,86078,18076,59265,158
1151,NEW YORK AVENUE,11203,1225285.16,Multifamily Housing,36.77,239005,50550,6,43192,9070,29738,79
1304,NEW YORK AVENUE,11203,722454.83,Multifamily Housing,46.3,277800,55838,6,54386,11421,37445,100
646,RUTLAND ROAD,11203,312108.42,Multifamily Housing,33.15,215475,45573,6,38534,8092,26531,71
811,RUTLAND ROAD,11203,3896251.6,Multifamily Housing,194.96,1121020,337394,8,231393,48593,159315,425
434,SCHENECTADY AVENUE,11203,723094.17,Multifamily Housing,107.55,618413,167764,7,127649,26806,87887,235
455,SCHENECTADY AVENUE,11203,774197.33,Multifamily Housing,110.14,633305,172790,7,130723,27452,90003,240
459,SCHENECTADY AVENUE,11203,986326.11,Multifamily Housing,66.56,399360,93834,7,78184,16419,53830,144
585,SCHENECTADY AVENUE,11203,16238721.11,Hospital (General Medical and Surgical),119.61,687758,191168,7,141962,29812,97742,261
1487,SCHENECTADY AVENUE,11203,689804.37,Warehouse (Unrefrigerated),390.95,2150225,684751,15,473576,60000,326060,870
3400,SNYDER AVENUE,11203,1587085.78,Multifamily Housing,79.65,477900,120341,7,92586,19443,63746,170
3500,SNYDER AVENUE,11203,1324272.72,Multifamily Housing,91.11,523883,135861,7,107021,22475,73685,197
5301,SNYDER AVENUE,11203,606822.38,Multifamily Housing,77.93,467580,116858,7,94400,19824,64995,173
